0,1,male,28.0,173.11,70.5,yes,JSSFP,9,0,0,Jack Sparrow,cutlass,1,0.58,16,"Monsters, Inc.",11,155.10000000000002
1,2,male,31.0,209.25,105.6,yes,JSSFP,9,11,0,Jack Sparrow,cutlass,0,1.11,21,WALL-E,9,232.32
2,3,male,26.0,169.95,77.1,yes,CCCC,10,10,1,Jack Sparrow,cutlass,1,1.44,19,Inside Out,7,169.62
3,4,female,31.0,144.29,58.5,no,JSSFP,2,0,2,Jack Sparrow,scimitar,1,36.11,2,Inside Out,9,128.70000000000002
4,5,female,41.0,157.85,58.4,yes,JSSFP,9,6,4,Hook,cutlass,1,0.11,0,Inside Out,14,128.48000000000002
5,6,male,26.0,190.2,85.4,yes,CCCC,7,19,0,Jack Sparrow,cutlass,1,0.59,17,Monsters University,7,187.88000000000002
6,7,female,31.0,158.05,59.6,yes,JSSFP,9,1,7,Blackbeard,cutlass,0,3.01,1,Cars,9,131.12
7,8,female,31.0,172.52,74.5,yes,JSSFP,5,13,7,Hook,cutlass,1,0.06,1,Inside Out,12,163.9
8,9,female,28.0,164.57,68.7,yes,JSSFP,12,37,2,Anicetus,cutlass,0,0.74,1,Toy Story 3,16,151.14000000000001
9,10,male,30.0,183.52,84.7,yes,JSSFP,12,69,4,Jack Sparrow,cutlass,1,0.71,25,Monsters University,9,186.34000000000003
10,11,female,25.0,162.49,63.5,yes,CCCC,10,1,3,Blackbeard,cutlass,1,0.78,1,Inside Out,7,139.70000000000002
11,12,male,20.0,163.65,70.0,yes,CCCC,14,5,3,Jack Sparrow,cutlass,0,0.47,27,"Monsters, Inc.",8,154.0
12,13,female,24.0,171.04,72.6,yes,CCCC,8,6,0,Lewis Scot,cutlass,0,0.53,0,"Monsters, Inc.",12,159.72
13,14,male,26.0,177.99,78.2,yes,CCCC,9,12,3,Jack Sparrow,cutlass,1,1.33,19,Inside Out,7,172.04000000000002
14,15,female,45.0,167.65,65.4,yes,JSSFP,14,70,0,Hook,cutlass,1,0.33,0,Monsters University,9,143.88000000000002
15,16,female,40.0,165.1,65.7,yes,JSSFP,8,3,1,Hook,scimitar,1,27.56,1,The Incredibles,10,144.54000000000002
16,17,male,21.0,177.52,72.7,yes,CCCC,11,3,0,Jack Sparrow,cutlass,0,0.33,20,Finding Nemo,15,159.94000000000003
17,18,female,30.0,158.3,65.6,yes,JSSFP,7,107,3,Blackbeard,cutlass,0,1.55,0,"Monsters, Inc.",8,144.32
18,19,female,35.0,173.07,72.8,yes,JSSFP,7,75,14,Hook,cutlass,0,0.72,0,Finding Nemo,11,160.16
19,20,male,26.0,175.45,69.0,yes,CCCC,14,30,3,Jack Sparrow,cutlass,0,0.4,27,WALL-E,10,151.8
20,21,male,22.0,187.83,85.8,yes,CCCC,10,11,6,Jack Sparrow,cutlass,0,0.5,12,"Monsters, Inc.",6,188.76000000000002
21,22,female,34.0,179.06,82.1,no,JSSFP,5,13,4,Edward Low,cutlass,1,0.03,2,Ratatouille,8,180.62
22,23,male,23.0,158.66,53.5,yes,CCCC,13,11,1,Edward Low,cutlass,0,0.02,29,Finding Nemo,13,117.7
23,24,male,12.0,175.29,83.0,yes,CCCC,10,3,2,Jack Sparrow,cutlass,1,0.14,24,Up,8,182.60000000000002
24,25,male,35.0,187.48,85.6,yes,JSSFP,10,18,1,Jack Sparrow,sabre,1,11.23,17,Inside Out,2,188.32
25,26,female,26.0,153.54,54.6,yes,CCCC,10,10,3,Blackbeard,cutlass,1,1.1,0,Inside Out,9,120.12000000000002
26,27,male,15.0,171.48,66.0,no,CCCC,2,2,0,Jack Sparrow,banana,1,44.74,18,Inside Out,10,145.20000000000002
27,28,male,30.0,177.04,71.9,yes,JSSFP,15,15,4,Edward Low,cutlass,1,0.35,29,Inside Out,15,158.18000000000004
28,29,female,17.0,145.98,57.4,yes,CCCC,14,1,1,Hook,cutlass,0,0.18,0,Finding Nemo,11,126.28
29,30,female,26.0,134.87,37.9,yes,CCCC,12,44,10,Edward Low,cutlass,1,0.59,1,Monsters University,2,83.38000000000001
30,31,male,22.0,196.69,91.7,no,CCCC,2,54,1,Jack Sparrow,cutlass,1,2.19,17,Monsters University,11,201.74
31,32,male,22.0,181.95,79.4,yes,CCCC,15,6,2,Hook,cutlass,1,0.12,29,Monsters University,9,174.68000000000004
32,33,male,31.0,190.02,90.5,yes,JSSFP,13,3,1,Jack Sparrow,cutlass,1,0.29,24,Inside Out,7,199.10000000000002
34,35,male,28.0,178.24,75.1,yes,CCCC,17,2,1,Hook,cutlass,0,0.34,24,Brave,8,165.22
35,36,female,18.0,163.09,63.3,yes,CCCC,9,14,0,Jack Sparrow,cutlass,0,0.14,0,Monsters University,9,139.26
36,37,other,27.0,161.2,63.6,no,CCCC,0,3,1,Lewis Scot,scimitar,1,8.48,3,A Bug's Life,8,139.92000000000002
37,38,female,31.0,158.03,63.0,yes,JSSFP,8,1,2,Lewis Scot,cutlass,1,1.57,0,A Bug's Life,13,138.60000000000002
38,39,female,25.0,129.83,33.0,no,CCCC,6,39,1,Edward Low,sabre,0,1.13,1,Finding Nemo,13,72.60000000000001
39,40,female,36.0,153.68,61.7,yes,JSSFP,9,18,6,Anicetus,cutlass,1,0.17,0,Up,12,135.74
40,41,female,24.0,158.88,59.2,yes,CCCC,18,58,3,Jack Sparrow,cutlass,1,0.53,0,A Bug's Life,4,130.24
41,42,female,27.0,176.59,69.3,yes,CCCC,13,1,1,Edward Low,cutlass,1,1.35,1,Inside Out,8,152.46
42,43,female,26.0,158.6,67.7,yes,CCCC,15,10,2,Edward Low,cutlass,0,0.93,0,WALL-E,9,148.94000000000003
43,44,male,28.0,178.66,82.6,yes,CCCC,4,0,2,Jack Sparrow,cutlass,1,0.28,8,"Monsters, Inc.",19,181.72
44,45,male,28.0,167.63,65.9,yes,CCCC,8,17,5,Jack Sparrow,cutlass,1,0.51,17,Toy Story 3,10,144.98000000000002
45,46,female,24.0,176.23,75.3,yes,CCCC,14,14,8,Blackbeard,cutlass,1,0.23,0,Inside Out,6,165.66
46,47,female,23.0,157.7,64.9,yes,CCCC,12,56,2,Lewis Scot,cutlass,1,0.89,0,Up,9,142.78000000000003
